Character Sprites
=================
c10e InsectLeft1, Address = 0xc10e, Width = 3, HeightInPixels = 18, SpriteData = 02 10 00 04 60 00 05 80 00 05 3e 00 02 40 00 01 80 00 33 8f 8e da b8 d9 7d e7 b0 7f ff b0 db bf d9 33 8f 8e 01 80 00 02 c0 00 05 3c 00 05 80 00 03 60 00 02 10 00 
d2d6 SabreManFallingRight3, Address = 0xd2d6, Width = 3, HeightInPixels = 12, SpriteData = 00 00 08 00 01 88 00 01 98 00 03 54 01 73 ae 07 7b a6 06 63 5a 06 03 5a c7 8a be 03 78 84 79 71 f8 60 01 00 
d2fc SabreManFallingLeft1, Address = 0xd2fc, Width = 2, HeightInPixels = 22, SpriteData = 3e 60 47 c0 79 80 bb 40 d6 b0 ed f0 5b c0 77 c0 6f 00 06 38 57 c8 fb f0 5c 70 5f 80 2c 80 2b 80 17 c6 13 9e 00 3c 00 0c 00 00 00 00 
d32a SabreManFallingLeft2, Address = 0xd32a, Width = 2, HeightInPixels = 18, SpriteData = 07 c0 0c e0 17 5c 17 30 14 c0 13 20 1c d8 33 f8 07 e0 20 00 76 40 2c 60 2c e0 2c e0 22 61 2e 73 27 f7 03 f7 
d350 SabreManFallingLeft3, Address = 0xd350, Width = 3, HeightInPixels = 12, SpriteData = 10 00 00 11 80 00 19 80 00 2a c0 00 75 ce 80 65 de e0 5a c6 60 5a c0 60 7d 51 e3 21 1e cf 1f 8e 9e 00 80 06 
d376 OrchidGrowing1, Address = 0xd376, Width = 2, HeightInPixels = 3, SpriteData = 02 80 01 e0 01 80 
d37e OrchidGrowing2, Address = 0xd37e, Width = 2, HeightInPixels = 3, SpriteData = 06 b0 01 c0 01 80 
d386 OrchidGrowing3, Address = 0xd386, Width = 2, HeightInPixels = 5, SpriteData = 00 80 0c b8 02 e0 01 c0 01 80 
d392 OrchidGrowing4, Address = 0xd392, Width = 2, HeightInPixels = 6, SpriteData = 01 00 19 9c 1d b8 0d 70 07 c0 01 80 
d3a0 OrchidGrowing5, Address = 0xd3a0, Width = 2, HeightInPixels = 8, SpriteData = 01 80 03 00 03 80 39 9c 1d b8 0f a0 03 e0 01 e0 
d3b2 OrchidGrowing6, Address = 0xd3b2, Width = 2, HeightInPixels = 11, SpriteData = 00 e0 01 e0 03 c0 03 00 03 06 73 1e 7b bc 3d b8 0d b0 05 a0 01 a0 
d3ca OrchidGrowing7, Address = 0xd3ca, Width = 2, HeightInPixels = 13, SpriteData = 00 f0 01 f8 01 f8 02 e0 07 00 06 03 e6 0f f7 1e 7b be 7d bc 3d b8 1d b0 0d a0 
d3e6 OrchidGrowing8, Address = 0xd3e6, Width = 3, HeightInPixels = 16, SpriteData = 03 70 1c 07 60 f8 07 9f e1 0f ff cf 1f ff 91 03 3f 8f 07 c7 a1 0e 61 9a 0c 00 c4 ee 07 78 f7 1f 00 fb bf 00 7d be 00 3d bc 00 0d b0 00 01 a0 00 
d418 ParrotLeft1, Address = 0xd418, Width = 2, HeightInPixels = 19, SpriteData = 00 80 04 88 05 98 07 b0 04 f0 37 70 74 a2 f4 ac f7 78 f7 f1 07 2e 0e 38 0c 70 0c 3b 0e 7c 07 f0 70 3c ef b8 1f 90 
d440 ParrotLeft2, Address = 0xd440, Width = 2, HeightInPixels = 19, SpriteData = 00 80 04 80 05 98 07 b0 04 f0 37 70 74 a2 f4 ac f7 78 f7 f1 07 2e 0f 38 0f 30 0e 1b 0f 3c 47 f0 f0 3c 3d b8 0d 90 
d468 ParrotRight1, Address = 0xd468, Width = 2, HeightInPixels = 19, SpriteData = 01 00 11 20 19 a0 0d e0 0f 20 0e fc 45 2e 35 2f 1e ef 8f ef 74 e0 1c 70 0e 30 dc 30 3e 70 0f e0 3c 0e 1d f7 09 f8 
d490 ParrotRight2, Address = 0xd490, Width = 2, HeightInPixels = 19, SpriteData = 01 00 11 20 19 a0 0d e0 0f 20 0e ec 45 2e 35 2f 1e ef 8f ef 74 e0 1c 70 0c 70 d8 70 3c f0 0f e2 3c 0f 1d bc 09 b0 
d4b8 MonkeyLeft1, Address = 0xd4b8, Width = 2, HeightInPixels = 21, SpriteData = 0c 00 1e 00 27 00 47 00 ff 00 1f 80 7f c0 0e e0 0f 70 07 b8 03 bc 3b be 7d 8e e1 b7 fd bf 7d be 0f 5c 03 68 03 c0 03 c0 01 e0 
d4e4 MonkeyLeft2, Address = 0xd4e4, Width = 2, HeightInPixels = 20, SpriteData = 0c 00 1e 00 27 00 67 00 ff 00 1f 80 7f c0 0e e0 0b 70 6b b8 fb bc 3b be f7 4e 2e f7 1d f7 3b be 70 dc c0 e0 f3 e0 7b 00 
d50e MonkeyRight1, Address = 0xd50e, Width = 2, HeightInPixels = 21, SpriteData = 00 00 00 78 00 e4 00 e2 00 ff 01 f8 03 fe 07 70 0e f0 1d e0 3d c0 7d dc 71 be ed 87 fd bf 7d de 3a f0 16 c0 04 c0 03 c0 07 80 
d53a MonkeyRight2, Address = 0xd53a, Width = 2, HeightInPixels = 20, SpriteData = 00 30 00 f8 00 e4 00 e6 00 ff 01 f8 03 fe 07 70 0e d0 1d d6 3d df 7d df 72 ef ef 74 fe b8 7d dc 3b 0e 07 03 07 cf 00 de 
d564 LizardLeft1, Address = 0xd564, Width = 3, HeightInPixels = 13, SpriteData = 00 20 00 00 64 00 3f ee 40 4f fe c8 cf ff d8 7f ff f8 f7 ff fc 0f ff ff 7f 7f ff 00 ff e0 01 e0 f0 01 e0 f0 01 c0 78 
d58d LizardLeft2, Address = 0xd58d, Width = 3, HeightInPixels = 14, SpriteData = 00 24 00 00 6e 40 00 7e c8 3f ff d8 7f ff f8 cf ff fc 4f ff fe ff ff fe 7f 7f ef 7e 71 c3 00 7b c0 00 3b 80 00 31 80 00 00 00 
d5b9 LizardRight1, Address = 0xd5b9, Width = 3, HeightInPixels = 14, SpriteData = 00 24 00 02 76 00 13 7e 00 1b ff fc 1f ff f3 3f ff f3 7f ff f2 7f ff ff f7 fe fe c3 8e 7e 03 de 00 01 dc 00 01 1c 00 00 00 00 
d5e5 LizardRight2, Address = 0xd5e5, Width = 3, HeightInPixels = 13, SpriteData = 00 04 00 00 26 00 02 77 fc 13 7f f2 1b ff f3 1f ff fe 3f ff ef ff ff f0 ff fe fe 07 ff 00 0f 07 80 0f 07 80 1e 03 80 
d60e SnakeLeft1, Address = 0xd60e, Width = 3, HeightInPixels = 13, SpriteData = 01 e0 00 07 70 00 03 f0 00 00 70 00 00 e0 00 01 e0 00 01 c0 00 03 80 00 03 80 00 03 c7 f0 03 ff fc 01 ff 3e 00 78 0f 
d637 SnakeLeft2, Address = 0xd637, Width = 3, HeightInPixels = 11, SpriteData = 1c 00 00 3e 00 00 6e 00 00 fe 00 00 dc 00 00 1e 00 00 0f 00 00 07 c7 f0 07 ff fc 03 ff 3e 00 f8 07 
d65a SnakeRight1, Address = 0xd65a, Width = 3, HeightInPixels = 11, SpriteData = 00 00 38 00 00 7c 00 00 76 00 00 7f 00 00 3b 00 00 78 00 00 f0 0f e3 f0 3f ff e0 7c ff c0 f0 1f 00 
d67d SnakeRight2, Address = 0xd67d, Width = 3, HeightInPixels = 13, SpriteData = 00 07 80 00 0e e0 00 0f c0 00 0e 00 00 07 00 00 07 80 00 03 80 00 01 c0 00 01 c0 0f e3 c0 3f ff c0 7c ff 80 f0 1e 00 
d706 NastyDead4, Address = 0xd706, Width = 3, HeightInPixels = 21, SpriteData = 00 03 c0 00 77 e0 03 bb f0 07 f1 e0 07 d6 d0 07 f7 f8 03 cf f8 01 bf f8 03 dd f0 07 ee e0 07 ed 80 07 f3 c0 03 bf c0 00 3f 80 00 1f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
d747 NastyDead1, Address = 0xd747, Width = 3, HeightInPixels = 23, SpriteData = 00 c0 00 01 e0 c0 03 fc f0 0d f7 f8 1f ff fc 3f ff fc 3f f7 fc 1f ef fc 0f 67 f8 1f 87 e0 3f e2 f0 3f c1 f8 7f 82 fc 7f 77 fc 3f f7 fc 1f eb fc 01 ff fc 03 ff f8 03 fd f8 03 fc f0 00 f8 00 00 00 00 00 00 00 
d78e NastyDead2, Address = 0xd78e, Width = 3, HeightInPixels = 24, SpriteData = 00 e0 00 1d f0 f8 3f f9 fc 7f ff fe 7f ff fe ff ff fc fc 73 fc 7e 00 e4 3f 00 3e 1f 00 7e 3f 00 ff 7f 00 ff fe 00 3f fc 00 3f ff 80 ff 7f c1 f6 3f ff f8 07 df fc 0f ff fc 1f ff fc 1f ff f8 0f f7 f0 07 e3 c0 00 00 00 
d7d8 NastyDead3, Address = 0xd7d8, Width = 3, HeightInPixels = 24, SpriteData = 03 e7 f0 07 f7 f0 07 ff e0 1b 7e f8 3f 1d fc 7e 01 fc 78 00 fc 3c 00 38 5c 00 70 fc 00 7e f8 00 7f f0 00 1f 78 00 7f 1c 00 7f 7c 00 7f fc 00 3e f8 00 d8 ff 8d fc 7f df fc 37 ff fc 0f ff f8 0f ff 70 07 df 80 03 8f 00 
d822 NastyAlive1, Address = 0xd822, Width = 3, HeightInPixels = 14, SpriteData = 00 30 00 02 36 00 07 3e 00 00 07 20 3f f6 70 3f f9 ee 00 07 de 03 9f 00 0e 7c 00 01 f3 00 07 cf c0 07 33 f0 04 30 70 00 30 00 
d84e NastyAlive2, Address = 0xd84e, Width = 3, HeightInPixels = 19, SpriteData = 00 60 00 00 61 80 00 61 c0 00 60 c0 00 78 c0 06 7c c0 0f 70 c0 0e e8 60 71 d8 60 7b ba 60 07 37 80 0f 3f e0 1e 31 f8 3c 30 7c 38 70 18 10 60 00 00 60 00 00 60 00 00 60 00 
d889 NastyAlive3, Address = 0xd889, Width = 3, HeightInPixels = 23, SpriteData = 00 30 00 00 30 00 00 30 00 00 30 c0 00 30 c0 01 30 c0 03 b0 c0 03 04 c0 07 0e c0 06 b0 c0 0e bc c0 0d de c0 1d 0f 40 d8 63 80 b8 63 c0 60 61 e0 70 e0 f0 60 c0 78 00 c0 3c 01 c0 1e 01 80 0c 01 80 00 01 80 00 
d8d0 NastyAlive4, Address = 0xd8d0, Width = 3, HeightInPixels = 23, SpriteData = 00 18 00 00 18 00 00 18 00 0c 18 00 0c 18 04 0c 18 0e 1c 04 1c 18 0e 38 18 1d 70 18 3b 60 38 77 80 30 ed c0 31 cd c0 33 84 e0 77 00 70 6e 00 70 1c 04 38 38 06 1c 10 0e 1c 00 0c 0e 00 1c 07 00 18 07 00 08 01 
d917 NastyAlive5, Address = 0xd917, Width = 3, HeightInPixels = 23, SpriteData = 00 03 00 00 03 00 00 06 00 00 06 00 00 06 00 c1 8c 00 c1 8c 18 c1 8c 1b c1 81 db 61 8f d8 61 8f 18 61 80 18 31 80 18 31 80 18 31 80 18 19 80 18 19 80 18 19 80 18 19 80 18 00 03 18 00 0f 80 00 3f 00 00 3c 00 
d95e NastyAlive6, Address = 0xd95e, Width = 3, HeightInPixels = 19, SpriteData = 00 06 00 00 06 00 00 0c 00 00 0c 00 c0 1b 00 e0 1b 81 e8 31 c3 74 30 e3 76 60 77 3b 60 2e 3b 80 2e 1d c0 3d 1c e0 3b 0e 70 38 0e 20 00 07 00 f0 04 0f f0 00 ff 00 00 f0 80 
d999 Box, Address = 0xd999, Width = 2, HeightInPixels = 16, SpriteData = 07 00 0e c0 1d f0 3b fc 77 ef ef dd 9f bb c7 77 da ee 5c dd fd 3a dd a8 0f a8 0d d0 00 e0 00 c0 
d9bb Ring, Address = 0xd9bb, Width = 2, HeightInPixels = 16, SpriteData = 06 00 1b 78 3b 7c 77 0e 67 06 9e 07 fe 03 70 03 00 03 60 07 60 06 60 0e 30 1c 3c 78 1f f0 07 c0 
d9dd Apple, Address = 0xd9dd, Width = 2, HeightInPixels = 16, SpriteData = 00 0c 00 d2 07 b2 1e 7c 3f b8 7f d6 7f ee ff ef ff f7 ff f7 ff f7 7f fe 7f f6 3f ee 1f bc 07 b0 
d9ff Charm, Address = 0xd9ff, Width = 2, HeightInPixels = 16, SpriteData = 00 00 13 98 2f ec 10 76 13 36 35 d6 36 e6 3b dc 3b ba 5e 72 61 e3 3f c3 1f 10 40 30 63 30 63 00 
da21 Amulet, Address = 0xda21, Width = 2, HeightInPixels = 16, SpriteData = 17 e8 37 ec 7b da fb d5 3c 2b 6b dd f7 f1 f7 91 f7 51 f5 b1 ca ed 37 c3 f0 21 58 22 20 18 17 f8 
da43 ExtraLife, Address = 0xda43, Width = 2, HeightInPixels = 16, SpriteData = 01 80 02 40 02 c0 02 c0 0e f0 1c f8 19 f8 1b f8 1d f8 1e d8 1a d8 02 c0 02 c0 02 c0 0e f0 09 f0 
da65 MoneyBag, Address = 0xda65, Width = 2, HeightInPixels = 16, SpriteData = 04 a0 06 e0 03 de 00 01 1f f8 3b 7c 3c 1c 6d 7c 6d 7c 6e 3c 6f 5c 6f 5c 6b 5c 6c 3c ff 7e e1 ff 
da87 Spear, Address = 0xda87, Width = 2, HeightInPixels = 16, SpriteData = 00 01 00 02 00 04 00 18 00 38 00 70 00 e0 03 c0 07 80 2f 80 37 00 1a 00 2c 00 76 00 e0 00 c0 00 
daa9 Chalice, Address = 0xdaa9, Width = 2, HeightInPixels = 16, SpriteData = 07 e0 38 1c 40 02 40 06 78 1e 37 fc 33 fc 19 f8 0d f0 06 e0 02 c0 01 80 01 80 0d b0 1b 98 0f f0 
dacb Unknown, Address = 0xdacb, Width = 2, HeightInPixels = 16, SpriteData = 07 8c 08 72 08 01 07 71 04 6a 0e 0a 1f 12 11 1a 6e 69 db 69 d1 65 db 69 6e ca 11 12 1f 14 0e 18 
daed Unknown, Address = 0xdaed, Width = 2, HeightInPixels = 14, SpriteData = 00 f8 03 9c 04 ee 1f 77 43 bf 7d d3 fe cb 81 2b ff 67 db 3f db 7e c3 78 ff 70 ff c0 
db0b BoarSleeping, Address = 0xdb0b, Width = 3, HeightInPixels = 21, SpriteData = 01 fe 00 0f ff c0 1f ff f0 3f ff f8 7f ff fc ff ff fc 7f fc 7e ff 3b fe 9f 57 fe af 57 fe b0 cf fe bf ef fc ff ef fc 7f 27 f8 39 cb f4 1f db 89 0e f3 89 1f f7 86 0f af 00 01 63 00 01 90 00 
db4c BoarRunningLeft1, Address = 0xdb4c, Width = 4, HeightInPixels = 17, SpriteData = 0f 8f 87 c0 07 ff ff f0 03 ff ff fa 04 ff ff f9 0b 7f fd fd 09 7f fb ff 98 ff f7 f8 df ff f7 f8 7f dd f7 f8 1f 9d f7 f8 7e 3d f3 fc 30 7d 80 fc 00 f8 00 1e 01 e4 00 6e 01 88 00 6c 03 b0 00 6c 03 60 00 cc 
db92 BoarRunningRight1, Address = 0xdb92, Width = 4, HeightInPixels = 18, SpriteData = 00 ff 80 00 03 ff f1 f0 07 ff ff e0 0f ff ff c0 2f ff ff c0 4f ef ff 20 4f f7 fe d0 3f fb fe 90 0f fb bf 39 07 fb bb fb 03 fb bb fe 00 f7 b9 f8 01 71 f0 7e 01 60 70 0c 00 e0 e8 00 03 71 d8 00 01 b9 b0 00 00 dd b0 00 
dbdc BoarRunningRight2, Address = 0xdbdc, Width = 4, HeightInPixels = 17, SpriteData = 03 e1 f1 f0 0f ff ff e0 5f ff ff c0 9f ff ff 20 bf bf fe d0 ff df fe 90 1f ef ff 19 1f ef ff fb 1f ef bb fe 1f ef b9 f8 3f cf bc 7e 3f 01 be 0c 78 00 1f 00 76 00 27 80 36 00 11 80 36 00 0d c0 33 00 06 c0 
dc22 BoarRunningLeft2, Address = 0xdc22, Width = 4, HeightInPixels = 18, SpriteData = 00 01 fe 00 0f 8f ff c0 07 ff ff e0 03 ff ff f0 03 ff ff f4 04 ff f7 f2 0b 7f ef f2 09 7f df fc 9c fc df f0 df dd df e0 7f dd df c0 1f 9d ef 00 7e 0f 8e 80 30 0e 60 80 00 17 07 00 00 1b 8e c0 00 0d 9d 80 00 0d bb 00 
e770 AmuletTopLeft, Address = 0xe770, Width = 2, HeightInPixels = 16, SpriteData = 00 01 00 02 00 02 00 01 03 f1 0f ff 0c 0f 18 00 18 e0 19 78 18 37 18 2f 18 1f 31 f9 33 f9 67 ff 
e792 AmuletTopRight, Address = 0xe792, Width = 2, HeightInPixels = 16, SpriteData = 80 00 40 00 5f e0 bf f8 f0 1c e0 0c 00 0c 3f 8c ff cc fe 0c fc 0c f2 0c ff 0c ff 8c ff 36 ff e3 
e7b4 AmuletBottomLeft, Address = 0xe7b4, Width = 2, HeightInPixels = 16, SpriteData = 3a bf d8 3a df f9 cc cb c8 87 c8 8f c0 3f c0 b7 c0 e6 c0 64 60 18 70 00 3f ff 0f ff 00 00 00 00 
e7d6 AmuletBottomRight, Address = 0xe7d6, Width = 2, HeightInPixels = 16, SpriteData = bf e3 4f f3 f3 f3 fd fb ff cb fe c3 de e3 9a 63 12 23 00 03 00 03 07 f3 ef ff fc 0e 38 00 00 00 
e7f8 Guardian1, Address = 0xe7f8, Width = 4, HeightInPixels = 32, SpriteData = 00 1f e0 00 00 e1 fc 00 00 81 fc 00 00 b9 8c 00 00 9d 1c 00 40 81 fc 02 40 82 fc 02 40 82 fc 02 e0 46 78 07 40 46 78 02 60 41 f8 06 60 21 f0 06 10 2e 30 08 10 16 60 08 08 11 e0 10 04 69 de 20 05 f5 bf a0 0a fb 7f 50 0a dc fa 50 01 0f f0 80 00 87 e1 00 00 80 01 00 00 47 e2 00 00 5f fa 00 00 2f f4 00 00 57 ea 00 00 57 ea 00 00 6b d6 00 00 68 10 00 00 04 27 c0 03 e2 47 e0 07 e2 40 00 
e87a Guardian2, Address = 0xe87a, Width = 4, HeightInPixels = 32, SpriteData = 00 07 f8 00 00 3f 87 00 00 3f 81 00 00 31 9d 00 00 38 b9 00 40 3f 81 02 40 3f 41 02 40 3f 41 02 e0 1e 62 07 40 1e 62 02 60 1f 82 06 60 0f 84 06 10 0c 74 08 10 06 64 08 08 07 88 10 04 7b 96 20 05 fd af a0 0a fe df 50 0a 5f 3b 50 01 0f f0 80 00 87 e1 00 00 80 01 00 00 47 e2 00 00 5f fa 00 00 2f f4 00 00 57 ea 00 00 57 ea 00 00 6b d6 00 00 08 16 00 03 e4 20 00 07 e2 47 c0 00 02 47 e0 
e8fc Fire1, Address = 0xe8fc, Width = 2, HeightInPixels = 22, SpriteData = 03 60 08 e0 08 60 08 74 1c f4 59 bc 71 3c 1b 6e 0a 76 22 7e 32 3b 32 33 3a 13 3e 36 97 66 d3 ce 71 8c 39 8c 1c 98 0e f0 07 e0 01 80 
e92a Fire2, Address = 0xe92a, Width = 2, HeightInPixels = 22, SpriteData = 08 00 18 1a 10 32 30 f6 05 e4 1d c0 3d 42 2b 62 5b 62 7b 23 7e 33 6e 37 6c 3d 60 79 30 63 38 22 9c 66 ce cd 66 db 33 e6 18 bc 05 00 
e958 Fire3, Address = 0xe958, Width = 2, HeightInPixels = 23, SpriteData = 0e 08 07 8c 03 c6 43 e4 41 e8 61 69 61 62 63 62 b6 36 be 3e 9c 9e f8 8e e1 9e 61 1e 78 3c 3e 6c 17 c8 58 90 4c 30 6e 60 77 c0 3b 80 1d 00 
e988 Fire4, Address = 0xe988, Width = 2, HeightInPixels = 23, SpriteData = 02 20 03 10 01 88 15 c8 11 e0 13 e2 33 72 37 72 76 32 76 93 5c 97 49 8d 41 c1 42 59 66 33 22 66 13 cc 09 8a 04 92 04 26 02 5c 01 80 01 00 
e9b8 RatLeft1, Address = 0xe9b8, Width = 3, HeightInPixels = 9, SpriteData = 08 3c 00 1c c6 00 2f bf 00 4f 7f 80 ff 7f 80 e6 7b c0 03 3d f0 01 98 3e 00 70 00 
e9d5 RatLeft2, Address = 0xe9d5, Width = 3, HeightInPixels = 9, SpriteData = 08 3c 00 1c ee 00 2f df 00 4f bf 80 ff bd c0 e7 be f0 0c df 7e 18 03 00 30 1e 00 
e9f2 RatRight1, Address = 0xe9f2, Width = 3, HeightInPixels = 9, SpriteData = 00 3c 10 00 63 38 00 fd f4 01 fe f2 01 fe ff 03 de 67 0f bc c0 7c 19 80 00 0e 00 
ea0f RatRight2, Address = 0xea0f, Width = 3, HeightInPixels = 9, SpriteData = 00 3c 10 00 77 38 00 fb f4 01 fd f2 03 bd ff 0f 7d e7 7e fb 30 00 c0 18 00 78 0c 
ea2c BirdLeft1, Address = 0xea2c, Width = 3, HeightInPixels = 18, SpriteData = 00 00 fc 7c e3 cf db 37 f7 37 37 78 35 f7 b0 09 fb d0 00 fb e0 00 fd e0 00 fe 80 00 ff 00 00 7f 00 00 df 00 01 97 80 03 97 c0 00 ba e0 00 ab 60 00 03 40 00 03 80 
ea64 BirdLeft2, Address = 0xea64, Width = 3, HeightInPixels = 22, SpriteData = 01 00 f0 01 83 e0 00 c6 00 01 ef c0 00 0f 80 00 ee 00 03 37 80 07 36 00 05 f7 80 01 fb 80 00 fb 80 00 fd 80 00 fe 80 00 ff 00 00 7f 00 00 df 00 01 97 80 03 97 c0 00 ba e0 00 ab 60 00 03 40 00 03 80 
eaa8 BirdRight1, Address = 0xeaa8, Width = 3, HeightInPixels = 18, SpriteData = 3f 00 00 f3 c7 3e ef ec db 1e ec ec 0d ef ac 0b df 90 07 df 00 07 bf 00 01 7f 00 00 ff 00 00 fe 00 00 fb 00 01 e9 80 03 e9 c0 07 5d 00 06 d5 00 02 c0 00 01 c0 00 
eae0 BirdRight2, Address = 0xeae0, Width = 3, HeightInPixels = 22, SpriteData = 0f 00 80 07 c1 80 00 63 00 03 f7 80 01 f0 00 00 77 00 01 ec c0 00 6c e0 01 ef a0 01 df 80 01 df 00 01 bf 00 01 7f 00 00 ff 00 00 fe 00 00 fb 00 01 e9 80 03 e9 c0 07 5d 00 06 d5 00 02 c0 00 01 c0 00 
eb24 FlyLeft1, Address = 0xeb24, Width = 2, HeightInPixels = 16, SpriteData = 00 0f 00 31 00 c1 71 06 fa 18 75 e0 0b 00 77 e0 97 f8 a3 cc a3 e4 91 f2 48 fa 44 4e 22 3c 02 0c 
eb46 FlyLeft2, Address = 0xeb46, Width = 2, HeightInPixels = 14, SpriteData = 00 00 70 00 fb 00 74 00 0a c0 77 30 97 08 a3 84 a1 e6 90 fe 48 f9 24 7f 22 0f 10 03 
eb64 FlyRight1, Address = 0xeb64, Width = 2, HeightInPixels = 16, SpriteData = f0 00 8c 00 83 00 60 8e 18 5f 07 ae 00 d0 07 ee 1f e9 33 c5 27 c5 4f 89 5f 12 7e 22 33 44 30 04 
eb86 FlyRight2, Address = 0xeb86, Width = 2, HeightInPixels = 14, SpriteData = 00 00 00 0e 00 df 03 2e 0c 50 10 ee 21 e9 67 c5 7f 85 9f 09 fe 12 fc 24 e0 44 c0 08 
eba4 FrogLeft1, Address = 0xeba4, Width = 3, HeightInPixels = 12, SpriteData = 06 00 00 19 e0 00 39 f8 00 1f fc 00 06 7f 00 03 ff 80 0f bb f8 7e 7f fe fc 03 fb 30 01 0e 00 00 03 00 00 01 
ebca FrogLeft2, Address = 0xebca, Width = 3, HeightInPixels = 10, SpriteData = 03 00 00 0c c0 00 1c fe 00 1f ff 80 07 e0 e0 01 ef f0 00 d6 f0 01 bb 38 03 81 d8 07 cf e0 
ebea FrogRight1, Address = 0xebea, Width = 3, HeightInPixels = 12, SpriteData = 00 00 60 00 07 98 00 1f 9c 00 3f f8 00 fe 60 01 ff c0 1f dd f0 7f ef 7e bf c0 3f 70 80 0c c0 00 00 80 00 00 
ec10 FrogRight2, Address = 0xec10, Width = 3, HeightInPixels = 10, SpriteData = 00 00 c0 00 03 30 00 7f 38 01 ff f8 07 07 e0 0f f7 80 0f 6b 00 1c dd 80 1b 81 c0 07 f3 e0 
